team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
Memphis Grizzlies,Sacramento Kings,118,108,10,Grizzlies,Kings,0
Denver Nuggets,Boston Celtics,123,111,12,Nuggets,Celtics,0
Milwaukee Bucks,Washington Wizards,95,118,-23,Bucks,Wizards,0
New York Knicks,Phoenix Suns,102,83,19,Knicks,Suns,0
Philadelphia 76ers,New Orleans Pelicans,120,111,9,76ers,Pelicans,0
Charlotte Hornets,Los Angeles Lakers,115,121,-6,Hornets,Lakers,0
Indiana Pacers,Toronto Raptors,122,114,8,Pacers,Raptors,0
Cleveland Cavaliers,Chicago Bulls,145,134,11,Cavaliers,Bulls,0
Brooklyn Nets,San Antonio Spurs,139,103,36,Nets,Spurs,0
Minnesota Timberwolves,Denver Nuggets,124,111,13,Timberwolves,Nuggets,0
Houston Rockets,Dallas Mavericks,106,111,-5,Rockets,Mavericks,0
Portland Trail Blazers,Detroit Pistons,135,106,29,Blazers,Pistons,0
Golden State Warriors,Atlanta Hawks,143,141,2,Warriors,Hawks,0
LA Clippers,Miami Heat,100,110,-10,Clippers,Heat,0
Oklahoma City Thunder,Boston Celtics,150,117,33,Thunder,Celtics,0
Milwaukee Bucks,Washington Wizards,123,113,10,Bucks,Wizards,0
Utah Jazz,Sacramento Kings,115,117,-2,Jazz,Kings,0
Philadelphia 76ers,Indiana Pacers,129,126,3,76ers,Pacers,0
Cleveland Cavaliers,Phoenix Suns,90,88,2,Cavaliers,Suns,0
Charlotte Hornets,Memphis Grizzlies,107,131,-24,Hornets,Grizzlies,0
Orlando Magic,Oklahoma City Thunder,126,115,11,Magic,Thunder,0
New York Knicks,San Antonio Spurs,117,114,3,Knicks,Spurs,0
Toronto Raptors,Milwaukee Bucks,101,104,-3,Raptors,Bucks,0
Minnesota Timberwolves,Portland Trail Blazers,113,106,7,Timberwolves,Blazers,0
New Orleans Pelicans,Houston Rockets,119,108,11,Pelicans,Rockets,0
Chicago Bulls,Brooklyn Nets,121,112,9,Bulls,Nets,0
Los Angeles Lakers,Miami Heat,112,109,3,Lakers,Heat,0
Sacramento Kings,Atlanta Hawks,117,120,-3,Kings,Hawks,0
Golden State Warriors,Detroit Pistons,119,122,-3,Warriors,Pistons,0
Orlando Magic,Memphis Grizzlies,115,123,-8,Magic,Grizzlies,0
Dallas Mavericks,Boston Celtics,95,124,-29,Mavericks,Celtics,0
Houston Rockets,Utah Jazz,114,131,-17,Rockets,Jazz,0
Denver Nuggets,LA Clippers,122,91,31,Nuggets,Clippers,0
Indiana Pacers,Portland Trail Blazers,108,99,9,Pacers,Blazers,0
Philadelphia 76ers,Chicago Bulls,112,126,-14,76ers,Bulls,0
New Orleans Pelicans,Brooklyn Nets,102,108,-6,Pelicans,Nets,0
Toronto Raptors,New York Knicks,108,112,-4,Raptors,Knicks,0
San Antonio Spurs,Detroit Pistons,121,109,12,Spurs,Pistons,0
Milwaukee Bucks,Charlotte Hornets,109,138,-29,Bucks,Hornets,0
Oklahoma City Thunder,Washington Wizards,127,110,17,Thunder,Wizards,0
Minnesota Timberwolves,LA Clippers,128,115,13,Timberwolves,Clippers,0
Denver Nuggets,Cleveland Cavaliers,121,108,13,Nuggets,Cavaliers,0
Phoenix Suns,Miami Heat,96,104,-8,Suns,Heat,0
Los Angeles Lakers,Atlanta Hawks,130,114,16,Lakers,Hawks,0
San Antonio Spurs,Boston Celtics,116,121,-5,Spurs,Celtics,0
Dallas Mavericks,New Orleans Pelicans,127,117,10,Mavericks,Pelicans,0
Chicago Bulls,Utah Jazz,126,118,8,Bulls,Jazz,0
Golden State Warriors,Orlando Magic,101,115,-14,Warriors,Magic,0
Sacramento Kings,Los Angeles Lakers,134,136,-2,Kings,Lakers,0
Detroit Pistons,Philadelphia 76ers,111,123,-12,Pistons,76ers,0
Toronto Raptors,Portland Trail Blazers,117,105,12,Raptors,Blazers,0
Indiana Pacers,Charlotte Hornets,116,111,5,Pacers,Hornets,0
Memphis Grizzlies,Utah Jazz,123,118,5,Grizzlies,Jazz,0
Miami Heat,Brooklyn Nets,101,102,-1,Heat,Nets,0
Oklahoma City Thunder,Dallas Mavericks,120,109,11,Thunder,Mavericks,0
Houston Rockets,Minnesota Timberwolves,96,104,-8,Rockets,Timberwolves,0
Phoenix Suns,Cleveland Cavaliers,98,112,-14,Suns,Cavaliers,0
LA Clippers,Atlanta Hawks,108,112,-4,Clippers,Hawks,0
Washington Wizards,New Orleans Pelicans,112,132,-20,Wizards,Pelicans,0
New York Knicks,Milwaukee Bucks,107,111,-4,Knicks,Bucks,0
Boston Celtics,Chicago Bulls,107,99,8,Celtics,Bulls,0
Memphis Grizzlies,San Antonio Spurs,121,113,8,Grizzlies,Spurs,0
Denver Nuggets,Los Angeles Lakers,122,109,13,Nuggets,Lakers,0
Sacramento Kings,Orlando Magic,136,111,25,Kings,Magic,0
Philadelphia 76ers,Detroit Pistons,147,116,31,76ers,Pistons,0
Miami Heat,Oklahoma City Thunder,112,111,1,Heat,Thunder,0
Toronto Raptors,Charlotte Hornets,132,120,12,Raptors,Hornets,0
Utah Jazz,Cleveland Cavaliers,116,114,2,Jazz,Cavaliers,0
Portland Trail Blazers,Orlando Magic,106,109,-3,Blazers,Magic,0
Golden State Warriors,Phoenix Suns,113,125,-12,Warriors,Suns,0
LA Clippers,Dallas Mavericks,113,101,12,Clippers,Mavericks,0
Washington Wizards,Chicago Bulls,100,97,3,Wizards,Bulls,0
Detroit Pistons,Minnesota Timberwolves,135,118,17,Pistons,Timberwolves,0
New York Knicks,Indiana Pacers,119,113,6,Knicks,Pacers,0
Boston Celtics,New Orleans Pelicans,125,114,11,Celtics,Pelicans,0
Atlanta Hawks,Milwaukee Bucks,105,114,-9,Hawks,Bucks,0
Memphis Grizzlies,San Antonio Spurs,135,129,6,Grizzlies,Spurs,0
Denver Nuggets,Phoenix Suns,126,97,29,Nuggets,Suns,0
Sacramento Kings,Houston Rockets,135,115,20,Kings,Rockets,0
Philadelphia 76ers,Oklahoma City Thunder,114,133,-19,76ers,Thunder,0
Toronto Raptors,Charlotte Hornets,124,114,10,Raptors,Hornets,0
Brooklyn Nets,Boston Celtics,98,109,-11,Nets,Celtics,0
Miami Heat,Milwaukee Bucks,108,102,6,Heat,Bucks,0
Los Angeles Lakers,Dallas Mavericks,115,119,-4,Lakers,Mavericks,0
Portland Trail Blazers,Cleveland Cavaliers,113,119,-6,Blazers,Cavaliers,0
Washington Wizards,New York Knicks,108,112,-4,Wizards,Knicks,0
